Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Macao SAR, China",44444052,38773741,21512694,,,,,38253,,,,,,
St. Martin (French part),,,,,,,,,,,,,,
Morocco,,,,,,,,,564392253,602597558,691266542,838959900,1018014031,
Monaco,,,,,,,,,,,,,,
Moldova,,,10339499,20511411,19863856,26511802,16758559,26543277,20759441,15491763,30060831,18944087,24973388,36904904
Madagascar,7358033,7433359,9755514,5518024,52264343,2053172,2591337,4418113,1571831,5124798,3682713,2999286,2679401,
Maldives,,,,,,,,,,120,708,,,
Middle East & North Africa,,,12855211763,,15462817915,14858375853,15026288940,16793396109,17886257654,15757322103,15808945275,17228632490,,
Mexico,,43707714823,38972532897,49291367742,52313656570,57666698884,58572112528,61551701430,60285844432,62455529343,69687047762,74886123830,75234337293,69544184531
Marshall Islands,,,,,,,,,,,,,,
Middle income,,,,,7.75189E+11,8.42942E+11,9.24171E+11,9.34869E+11,9.32029E+11,8.82225E+11,1.02059E+12,1.13363E+12,1.1218E+12,
North Macedonia,23018887,36728604,43323149,81123806,129994717,117341815,122677707,130746438,125087059,82150897,186204272,234170143,252593569,232386369
Mali,,3373034,,3204182,7320665,3974159,,,,10105788,3021238,,,
Malta,1491753348,1346504920,1006510130,1185240215,1318065057,1276145313,1017479267,858230375,635089986,592218559,655819653,762250697,758632076,
Myanmar,,,,58189,3743377,15467021,6071366,15846766,9486539,252834721,285995159,246079374,211591215,202309315
Middle East & North Africa (excluding high income),,,1097279349,,,,,,1942689784,,,,,
Montenegro,,6279001,16652965,8629674,8063951,9889196,6909504,11118361,11848593,5165276,5133057,4246458,9697706,9914687
Mongolia,7109238,,,,,,22669722,33796542,3152908,35523919,3779198,6763250,39589730,
Northern Mariana Islands,,,,,,,,,,,,,,
Mozambique,,,,,,104748497,83888558,44098230,31400309,12601457,32198905,27220071,4329719,
Mauritania,,,,,,,,,,44,,,3399,
Mauritius,,102798711,22748806,6212760,9788104,10637134,6397088,355022,1289246,1053133,28412079,31292622,24298902,20091030
Malawi,,2124185,3758804,2106796,22773567,1672462,11023851,9848473,4022059,26903867,8406539,1679969,4437252,
Malaysia,,,55657598669,65679346179,66508233664,66500014332,67099495956,70965144695,64474611125,63220193892,74136279705,90395903009,86554988404,92123577046
North America,2.75285E+11,2.77423E+11,1.80258E+11,1.96187E+11,1.97599E+11,2.06164E+11,2.04918E+11,2.08797E+11,2.07198E+11,2.03144E+11,1.84241E+11,1.87076E+11,1.88499E+11,1.69531E+11
Namibia,85745572,23868952,44645778,50444955,48113447,108419186,72295515,114014386,6256557,24271281,2161539,2888323,2508912,3763325
New Caledonia,,5592609,141296676,6491337,160695824,85540787,99288063,137707111,38232166,,,,,
Niger,,,4864092,4619872,3285632,4743782,53489210,72921955,11881005,2506150,17879182,4597297,,
Nigeria,,,53325602,63825351,40835778,81309415,93865047,150719079,509929276,7388348,18315636,41631961,85424676,
Nicaragua,5557868,8213173,7447275,6233877,7559400,4660294,7987567,9951099,11891363,17030802,12612402,14952958,24126468,
Netherlands,83800265539,78401590953,67926426677,77648849738,86017434688,81614077707,81183698811,84729328813,69866168731,71152272667,78188526043,85690573245,87120587840,87609061205
Norway,4479570005,5511497126,4890835994,4968407206,5394091752,5166856017,5383358032,5713622241,5051355645,4323546006,4272827826,4349108039,4636646551,4134524341
Nepal,,,2526185,4313163,2783697,816353,1909800,4400040,2850013,4241243,5993527,,,
Nauru,,,,,,,,,,,,,,
New Zealand,662664983,637514818,521135131,614260663,925352727,762141618,775319268,699198668,657268111,640393735,564489409,606940905,572752440,590425989
OECD members,1.19605E+12,1.30339E+12,1.0609E+12,1.20963E+12,1.30753E+12,1.29479E+12,1.31821E+12,1.35571E+12,1.27683E+12,1.28648E+12,1.28583E+12,1.37645E+12,1.34449E+12,1.26146E+12
Oman,,,,,,167104202,159946807,230872190,138986752,50129889,48362449,73302558,,
Other small states,,,,,,,,,,,3029994283,,,
Pakistan,,279153356,233457654,268284611,330173896,316873000,354220535,264492175,267621853,311291847,360255497,374587947,396193878,309393334
Panama,,1108997,900026,696667,4877488001,1969956852,2031204424,752236127,655095419,923062482,1361750579,,,
Peru,,121646969,121960054,267465444,322872161,202759364,203768303,206109067,224263734,187310528,212444388,210950542,179330470,
Philippines,,,,,,,,,,,33502479344,33903553364,35825933401,32818761665
Palau,,,,,,,,1105649,2231245,3509603,1277066,401591,,
Papua New Guinea,,,,,67790100,17574763,,,,,,,,
Poland,4192741568,7161585686,7698093652,9588658776,9701793641,10847206586,13842329476,17075505272,16877959173,17382613883,19261853887,22236772391,20354175965,20276511776
Pre-demographic dividend,,,,,,,,,1213806921,869586760,643266332,,,
Puerto Rico,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,
Portugal,3502609819,3575980157,1618308116,1498673592,1834211630,1919330026,2135760004,2315726875,2096407037,2457329643,2816236487,2978219490,3595047498,3359568309
Paraguay,25475195,39796552,40885859,41672311,59112923,56616781,66156749,62065736,50417841,60873339,62253535,102336648,76176090,
West Bank and Gaza,167530,489469,358718,974637,696891,1128720,376541,1101491,5860647,4340427,4292150,6243920,6637323,
Pacific island small states,,,,,,,,,,,,,,
Post-demographic dividend,1.26203E+12,1.3313E+12,1.07327E+12,1.24354E+12,1.33142E+12,1.31697E+12,1.33983E+12,1.37007E+12,1.28301E+12,1.28096E+12,1.57748E+12,1.70231E+12,1.65762E+12,1.60414E+12
French Polynesia,,,11343822,6207963,20506495,2388577,8801278,20726119,11000066,,,,,
Qatar,,,950861,,112596,218668,27939,33371,205330905,62631,292252,155183661,122141,465899482
Romania,1417646339,2623560851,3329566907,4856823006,5673719563,3649893276,3679007733,4473329971,4437963902,5254485304,5558653635,6637140086,6994469377,6984613434
Russian Federation,4365678062,5534576218,4796518942,5369759303,5810785524,7797725492,9309774146,10482099237,11542728872,11290145982,10483802377,10183007833,10864829654,
Rwanda,,,14878279,1237490,3358226,1097404,2392668,6763640,8666023,5547308,3552188,3489244,6816497,
South Asia,,,11674908636,11151712419,14994861712,14410422904,,,,,,,,
Saudi Arabia,134397210,180686093,209615941,202105320,213847736,258048056,289531027,254585411,278105527,421118895,261725653,252680849,270579693,
Sudan,,35372,10731495,64633,584912,6500,1401074,1230308,1014184,1526016,549176,869554,,
Senegal,,48941472,105118317,14627177,9068038,8550765,11616694,14516361,28135399,23026460,18809131,28155692,9412110,7555947
Singapore,1.0944E+11,1.23853E+11,99762941900,1.31971E+11,1.32292E+11,1.36622E+11,1.43759E+11,1.45602E+11,1.39342E+11,1.35616E+11,1.47179E+11,1.55447E+11,1.50959E+11,1.61271E+11
Solomon Islands,,,,,,,,,193415,525542,305201,171263,,
Sierra Leone,,,,,,,,2251,553,1151,1349,378767,,
El Salvador,190282218,202277691,178006148,235605826,238653934,225446747,227689954,226164846,209056904,223937030,251219313,277848371,230311113,235841503
San Marino,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,
Serbia,264460846,318766457,293928985,309509259,326374280,461948405,438205346,449012575,390638512,406369789,396951920,458079442,,
Sub-Saharan Africa (excluding high income),,,,,,,,3832924482,4211906168,3376655791,2994464351,2915979107,,
South Sudan,,,,,,,,,,,,,,
Sub-Saharan Africa,,,,,,,,3833591011,4213295293,3377713782,3029578419,2921500397,,
Small states,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,4359,101787,117701,4081,222420,739677,386566,1332855,191951,
Suriname,,,,5516346,5886909,11675458,4466089,7305535,2471126,2519617,1028529,1169002,2914164,
Slovak Republic,2684224202,3057611784,3066060303,4113247653,5012465108,6439164997,8092166008,8401134883,7461127959,7484803091,8812917854,8967347835,8048293470,7978617512
Slovenia,1322105036,1647570246,1331655554,1260209893,1500641554,1492976482,1586935544,1622659448,1556407125,1673787135,1755384350,2089386354,2333334083,2542444403
Sweden,22034880513,23863033813,18679723978,23223913842,25945757020,22234439753,21894362861,21452765399,18980418742,19144559630,17434042461,17442088069,17554657808,17805945123
Eswatini,,2317409,2101944,2330102,1354477,694569,1155806,1058006,2766946,2243950,3620867,11432106,3567980,
Sint Maarten (Dutch part),,,,,,,,,,,,,,
Seychelles,,,,,,,1105728,666529,1389125,1057991,35114068,5521290,1946595,
Syrian Arab Republic,,89352342,47288927,42302624,,,,,,,,,,
Turks and Caicos Islands,,,,,142047,208171,,,,,,,,
Chad,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),,,21586193360,26745767166,31163072101,34447291314,39996995686,45525730803,44673148381,44753138165,46809722156,50688929463,50512073534,35241539869
Togo,,97772,255620,164313,1326705,685092,939714,531886,1245120,289271,3202735,1293398,710008,
Thailand,32485960815,33513927457,30091240025,37211031831,36167465191,37195246417,37090554338,38523244046,38877663111,39083699792,43987099050,44795081987,40263648711,45968349192
Tajikistan,,,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),,,52561387905,64224159617,72998909380,75909650750,77324782064,77893353247,75566949149,78913772560,87240085869,90569672953,88787024432,
Timor-Leste,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),,,1096920631,,,,,,1936829137,,,,,
Tonga,,,8644,242,1264,152533,56676,28003,,,,,,
South Asia (IDA & IBRD),,,11674908636,11151712419,14994861712,14410422904,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,3833591011,4213295293,3377713782,3029578419,2921500397,,
Trinidad and Tobago,61152611,36207870,3466997,2859229,6491931,33519356,10410762,6663099,5675253,,,,,
Tunisia,,775079197,746372378,999867622,1088158471,856102212,805692837,871477651,838438493,879283155,850853009,832918092,840507140,
