Country,Year,GDP Total
Equatorial Guinea,2023,26336287114.128906
Equatorial Guinea,2024,27666414377.92578
Equatorial Guinea,2025,29033792802.48047
Equatorial Guinea,2026,30438805739.785156
Equatorial Guinea,2027,31881837517.78125
Equatorial Guinea,2028,33363273441.902344
Equatorial Guinea,2029,34883499795.22266
Equatorial Guinea,2030,36442903839.40234
Eritrea,2021,2628403506.9506836
Eritrea,2022,2739900194.942627
Eritrea,2023,2853628284.566162
Eritrea,2024,2969586126.5856934
Eritrea,2025,3087772057.3652344
Eritrea,2026,3208184398.8830566
Eritrea,2027,3330821458.6794434
Eritrea,2028,3455681529.86499
Eritrea,2029,3582762891.091797
Eritrea,2030,3712063806.540039
Estonia,2021,37049610336.515625
Estonia,2022,39013867528.578125
Estonia,2023,41038992307.734375
Estonia,2024,43125795528.6875
Estonia,2025,45275090188.90625
Estonia,2026,47487691429.625
Estonia,2027,49764416539.703125
Estonia,2028,52106084957.25
Estonia,2029,54513518270.3125
Estonia,2030,56987540220.390625
Eswatini,2021,5664171017.995605
Eswatini,2022,5872242673.558594
Eswatini,2023,6083804172.060059
Eswatini,2024,6298838475.813477
Eswatini,2025,6517328481.760742
Eswatini,2026,6739257021.570801
Eswatini,2027,6964606861.445801
Eswatini,2028,7193360702.106445
Eswatini,2029,7425501178.703613
Eswatini,2030,7661010860.781738
Ethiopia,2021,103586088726.75
Ethiopia,2022,112189852777.75
Ethiopia,2023,121258048025.5
Ethiopia,2024,130802924855.0
Ethiopia,2025,140836767979.0
Ethiopia,2026,151371896458.5
Ethiopia,2027,162420663723.5
Ethiopia,2028,173995457627.0
Ethiopia,2029,186108700472.0
Ethiopia,2030,198772849034.75
Fiji,2021,6448437170.890625
Fiji,2022,6785843308.5078125
Fiji,2023,7137867282.0625
Fiji,2024,7504869779.734375
Fiji,2025,7887212496.3125
Fiji,2026,8285258134.0703125
Fiji,2027,8699370403.421875
Fiji,2028,9129914024.328125
Fiji,2029,9577254726.773438
Fiji,2030,10041759252.375
Finland,2021,298108990405.5
Finland,2022,302597634803.75
Finland,2023,306831937606.75
Finland,2024,310799508359.5
Finland,2025,314487920997.75
Finland,2026,317884713792.25
Finland,2027,320977389337.25
Finland,2028,323753414500.5
Finland,2029,326200220401.5
Finland,2030,328305202357.75
France,2021,2980042042000.0
France,2022,3008111798736.0
France,2023,3032535356908.0
France,2024,3053160345836.0
France,2025,3069833959180.0
France,2026,3082402954132.0
France,2027,3090713651500.0
France,2028,3094611934956.0
France,2029,3093943250724.0
France,2030,3088552606908.0
Gabon,2021,21677701291.046875
Gabon,2022,22701535178.578125
Gabon,2023,23762981919.15625
Gabon,2024,24862847701.46875
Gabon,2025,26001940943.890625
Gabon,2026,27181072295.390625
Gabon,2027,28401054637.34375
Gabon,2028,29662703086.21875
Gabon,2029,30966834995.9375
Gabon,2030,32314269959.59375
Georgia,2021,23869274638.96875
Georgia,2022,25312905547.34375
Georgia,2023,26811767812.65625
Georgia,2024,28366910106.921875
Georgia,2025,29979383974.90625
