Year,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
2021,Kenya,27.27,2.06,4.03,48.55,24.83,420.33,0.24
2021,Nepal,23.76,2.44,2.9,40.92,34.43,307.99,0.32
2021,Taiwan,23.63,1.49,1.54,67.06,65.11,141.61,0.71
2021,South Korea,23.63,1.05,1.23,95.14,81.52,163.61,0.61
2021,Argentina,22.68,2.22,2.29,45.04,43.75,941.22,0.11
2021,Thailand,22.16,3.17,3.64,31.59,27.48,179.85,0.56
2021,Indonesia,22.01,4.07,4.81,24.57,20.81,256.78,0.39
2021,Vietnam,20.59,4.03,5.79,24.84,17.27,223.94,0.45
2021,Singapore,19.38,2.42,3.05,41.28,32.75,120.99,0.83
2021,Colombia,18.67,5.1,4.67,19.62,21.43,239.8,0.42
2021,Armenia,18.01,5.05,4.91,19.79,20.37,229.05,0.44
2021,Chile,17.6,3.88,3.74,25.74,26.72,127.33,0.79
2021,Uruguay,17.33,3.86,3.83,25.88,26.08,174.55,0.57
2021,Algeria,17.14,3.18,4.03,31.42,24.82,151.4,0.66
2021,Serbia,17.08,3.06,3.37,32.67,29.65,124.23,0.8
2021,Peru,16.88,5.13,4.85,19.51,20.61,192.24,0.52
2021,Belarus,16.79,4.26,4.13,23.49,24.24,250.96,0.4
2021,Azerbaijan,16.58,4.84,5.44,20.66,18.39,176.77,0.57
2021,Brazil,16.13,4.11,4.26,24.36,23.47,181.41,0.55
2021,Kyrgyzstan,15.59,6.96,6.66,14.37,15.01,262.31,0.38
2021,Uzbekistan,15.59,6.14,6.98,16.29,14.33,337.13,0.3
2021,El Salvador,15.57,6.46,7.14,15.48,14,167.29,0.6
2021,Czech Republic,15.46,3.15,3.38,31.7,29.55,99.54,1
2021,Albania,14.78,4.31,5.19,23.2,19.28,117.52,0.85
2021,Bangladesh,14.43,3.26,3.41,30.66,29.33,180.7,0.55
2021,Paraguay,14.21,5.39,6.77,18.56,14.78,204.31,0.49
2021,Croatia,14.2,3.32,3.53,30.08,28.34,103.34,0.97
2021,Georgia,14.16,6.31,7.38,15.85,13.55,177.93,0.56
2021,Montenegro,14.12,4.31,4.28,23.2,23.35,130.98,0.76
2021,Lebanon,14.07,5.46,5.74,18.32,17.43,132.92,0.75
2021,Poland,14.03,4.19,4.92,23.88,20.32,106.88,0.94
2021,Israel,13.68,2.75,2.86,36.41,35,95.98,1.04
2021,Egypt,13.65,5.53,6.23,18.08,16.05,199.74,0.5
2021,Guatemala,13.55,7.24,7.21,13.81,13.86,134.48,0.74
2021,Morocco,13.49,4.62,4.88,21.65,20.48,109.72,0.91
2021,France,13.48,2.33,2.71,42.98,36.86,78.45,1.27
2021,Kuwait,13.18,3.16,5.13,31.65,19.48,113.09,0.88
2021,Japan,13.04,2.19,2.43,45.63,41.19,75.2,1.33
2021,Afghanistan,12.95,3.29,3.85,30.42,25.97,158.02,0.63
2021,Moldova,12.71,5.73,6.55,17.45,15.28,141.74,0.71
2021,North Macedonia,12.67,4.04,3.82,24.78,26.16,105.01,0.95
2021,Portugal,12.65,4.78,5.79,20.91,17.27,78.59,1.27
2021,Pakistan,12.62,4.52,4.71,22.14,21.22,186.15,0.54
2021,Ecuador,12.59,5.8,6.01,17.25,16.64,152.27,0.66
2021,Malta,12.5,5.45,6.46,18.36,15.49,91.61,1.09
2021,Panama,12.33,7.37,7.04,13.57,14.21,101.32,0.99
2021,Luxembourg,12.17,3.32,3.66,30.09,27.29,72.08,1.39
2021,Tunisia,11.83,4.82,4.76,20.75,21.02,126.49,0.79
2021,Dominican Republic,11.76,7.31,7.39,13.68,13.54,158.8,0.63
2021,Hungary,11.6,3.79,4.04,26.37,24.75,91.39,1.09
2021,Mongolia,11.51,7.19,6.64,13.91,15.05,138.14,0.72
2021,India,11.31,3.04,3.67,32.86,27.22,123.67,0.81
2021,Kosovo (Disputed Territory),11.23,5.02,5.07,19.94,19.73,85.7,1.17
2021,Slovakia,11.14,4.56,4.8,21.95,20.82,64.73,1.54
2021,Russia,11.14,5.8,5.6,17.25,17.87,130.26,0.77
2021,Lithuania,10.97,3.71,4.19,26.96,23.87,69.31,1.44
2021,Slovenia,10.89,3.8,3.88,26.31,25.8,73.56,1.36
2021,Ukraine,10.77,6.8,7.43,14.71,13.47,207.81,0.48
2021,Bosnia And Herzegovina,10.75,3.34,3.27,29.96,30.55,79.63,1.26
2021,Romania,10.66,4.43,4.51,22.6,22.2,90.28,1.11
2021,Mexico,10.46,6.36,6.45,15.72,15.49,131.07,0.76
2021,Austria,10.4,3.16,3.46,31.68,28.94,63.66,1.57
2021,Greece,10.13,4.46,4.28,22.4,23.39,77.77,1.29
2021,Honduras,10.1,6.96,5.14,14.37,19.46,124.85,0.8
2021,Costa Rica,10.07,5.8,5.23,17.24,19.13,113.66,0.88
2021,Malaysia,9.92,3.59,4.02,27.87,24.9,74.66,1.34
2021,Kazakhstan,9.63,6.86,6.71,14.57,14.9,147.96,0.68
2021,Spain,9.59,4.49,5.23,22.29,19.11,60.14,1.66
2021,United Kingdom,9.57,3.71,4.12,26.96,24.29,64.73,1.54
2021,Italy,9.52,3.81,4.84,26.25,20.67,57.34,1.74
2021,Germany,9.12,3.24,3.53,30.91,28.34,54.68,1.83
2021,Estonia,9.11,3.92,4.04,25.54,24.76,57.95,1.73
2021,Iraq,9,5.74,7.48,17.43,13.37,97.63,1.02
2021,Bulgaria,8.97,5.01,5.61,19.97,17.84,64.25,1.56
2021,Bolivia,8.78,6.69,7.01,14.96,14.26,92.46,1.08
2021,Finland,8.64,3.05,4.06,32.81,24.63,49.53,2.02
2021,Sweden,8.56,3.2,3.64,31.27,27.5,55.56,1.8
2021,Norway,8.49,3.57,4.03,27.98,24.78,55.61,1.8
2021,Latvia,8.48,4.88,5.19,20.51,19.29,54.63,1.83
2021,Bahrain,8.48,7.2,7.4,13.88,13.52,77,1.3
2021,Switzerland,8.42,2.9,3.31,34.53,30.17,48.73,2.05
2021,Turkey,8.21,5.22,5.93,19.17,16.86,134.19,0.75
2021,New Zealand,8.09,4.58,4.79,21.82,20.89,60.41,1.66
2021,Jordan,8.03,5.31,6.32,18.82,15.82,80.19,1.25
2021,Trinidad And Tobago,7.81,8.12,6.22,12.31,16.08,68.78,1.45
2021,Canada,7.53,4.7,5.65,21.25,17.7,52.24,1.91
2021,Ireland,7.4,6.11,6.89,16.36,14.51,51.83,1.93
2021,Australia,7.38,4.29,4.3,23.3,23.25,52.89,1.89
2021,Netherlands,7.35,5.4,5.58,18.53,17.92,45.4,2.2
2021,Cyprus,7.12,6.82,7.05,14.66,14.19,46.72,2.14
2021,Belgium,6.91,4.69,4.99,21.33,20.05,41.1,2.43
2021,Denmark,6.66,4.27,4.52,23.44,22.12,39.23,2.55
2021,Iceland,6.31,6.57,7.18,15.22,13.93,53.55,1.87
2021,Qatar,5.97,7.47,7.27,13.39,13.76,46.21,2.16
2021,Oman,5.75,5.41,4.84,18.47,20.65,44.27,2.26
2021,United Arab Emirates,4.93,9.16,9.23,10.91,10.83,36.45,2.74
2021,Palestine,4.73,7.65,8.22,13.07,12.16,46.33,2.16
2021,United States,3.99,7.96,10.64,12.56,9.4,29.42,3.4
2021,South Africa,3.96,8.34,10.66,11.99,9.38,46.14,2.17
2021,Puerto Rico,3.56,8.72,8.46,11.47,11.81,27.86,3.59
